 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1,youtube.com website analytics youtube.com ,Arts & Entertainment > Streaming & Online TV,=,00:21:47,12.46,19.81%
2,netflix.com website analytics netflix.com ,Arts & Entertainment > Streaming & Online TV,=,00:08:34,4.17,41.45%
3,imdb.com website analytics imdb.com ,Arts & Entertainment > Streaming & Online TV,=,00:03:15,4.73,44.05%
4,disneyplus.com website analytics disneyplus.com ,Arts & Entertainment > Streaming & Online TV,1,00:07:04,4.37,35.40%
5,hotstar.com website analytics hotstar.com ,Arts & Entertainment > Streaming & Online TV,-1,00:07:42,5.11,28.23%
6,hbomax.com website analytics hbomax.com ,Arts & Entertainment > Streaming & Online TV,=,00:06:31,4.6,36.13%
7,cuddlethehyena.com website analytics cuddlethehyena.com ,Arts & Entertainment > Streaming & Online TV,=,00:04:44,3.44,38.16%
8,primevideo.com website analytics primevideo.com ,Arts & Entertainment > Streaming & Online TV,1,00:02:30,2.67,44.50%
9,hulu.com website analytics hulu.com ,Arts & Entertainment > Streaming & Online TV,-2,00:16:47,4.18,36.69%
10,nicovideo.jp website analytics nicovideo.jp ,Arts & Entertainment > Streaming & Online TV,-1,00:12:02,6.79,38.67%
11,xfinity.com website analytics xfinity.com ,Arts & Entertainment > Streaming & Online TV,-2,00:05:59,6.26,30.16%
12,kinopoisk.ru website analytics kinopoisk.ru ,Arts & Entertainment > Streaming & Online TV,-1,00:04:36,4.15,45.29%
13,dailymotion.com website analytics dailymotion.com ,Arts & Entertainment > Streaming & Online TV,-1,00:04:27,2.5,57.63%
14,tenki.jp website analytics tenki.jp ,Arts & Entertainment > Streaming & Online TV,5,00:02:13,2.06,54.29%
15,aparat.com website analytics aparat.com ,Arts & Entertainment > Streaming & Online TV,-1,00:06:22,4,43.91%
16,nhk.or.jp website analytics nhk.or.jp ,Arts & Entertainment > Streaming & Online TV,=,00:02:54,2.66,58.09%
17,itv.com website analytics itv.com ,Arts & Entertainment > Streaming & Online TV,81,00:02:21,2.19,52.32%
18,waisheph.com website analytics waisheph.com ,Arts & Entertainment > Streaming & Online TV,=,00:05:04,2.79,41.46%
19,fmovies.to website analytics fmovies.to ,Arts & Entertainment > Streaming & Online TV,2,00:06:54,3.62,38.71%
20,crunchyroll.com website analytics crunchyroll.com ,Arts & Entertainment > Streaming & Online TV,-2,00:14:14,4.19,37.47%
